Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
116,2373,species,Mourning Dove,Zenaida macroura,1,Fort Circle Parks,US-DC,30 Mar 2023,L23360513,S132538424,,1
117,1817,species,Rock Pigeon,Columba livia,1,Fort Circle Parks,US-DC,30 Mar 2023,L23360513,S132538424,N,1
118,8410,species,Red-tailed Hawk,Buteo jamaicensis,1,Dupont Circle,US-DC,28 Mar 2023,L23362681,S132550613,,1
119,441,species,Wood Duck,Aix sponsa,2,Rock Creek Park--Peirce Mill,US-DC,18 Mar 2023,L881762,S132593437,,1
8,8480,spuh,hawk sp.,Accipitridae sp. (hawk sp.),2,Fort Totten Metro,US-DC,10 Dec 2024,L23379806,S205235095,,0
16,11819,spuh,woodpecker sp.,Picidae sp.,1,Fort Circle Parks,US-DC,12 Mar 2024,L23360513,S164509004,,0
25,16791,slash,Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum/traillii,1,Kenilworth Park and Aquatic Gardens,US-DC,06 Jul 2023,L247770,S143715420,,0
30,33667,spuh,blackbird sp.,Icteridae sp.,1,Theodore Roosevelt Island,US-DC,15 Jun 2023,L718768,S141680583,,0
33,24075,spuh,swallow sp.,Hirundinidae sp.,5,Theodore Roosevelt Island -- Swamp Trail and east side of island,US-DC,15 Jun 2023,L11709421,S141678919,,0
34,8477,spuh,Buteo sp.,Buteo sp.,1,Fort Totten Park ,US-DC,25 May 2023,L751775,S139178458,,0
35,21348,slash,American/Fish Crow,Corvus brachyrhynchos/ossifragus,1,Senate Parks and Taft Memorial,US-DC,23 May 2023,L1273308,S138947882,,0
70,27405,spuh,wren sp.,Troglodytidae sp.,1,Fort Circle Parks,US-DC,18 Apr 2023,L23360513,S134164966,,0
78,6548,spuh,gull sp.,Larinae sp.,9,McMillan Reservoir,US-DC,13 Apr 2023,L271348,S133645078,,0
